"","Date","region","confirmed","recovered","deaths","actives","population","cumulative_test"
"1",2020-05-03,"united states of america",1158040,180152,67682,910206,329064917,526054
"2",2020-05-03,"united kingdom",187842,901,28520,158421,67530172,1129907
"3",2020-05-03,"russia",134687,16639,1280,116768,145872256,4099999
"4",2020-05-03,"italy",210717,81654,28884,100179,60550075,2108837
"5",2020-05-03,"france",168925,50885,24900,93140,65129728,724574
"6",2020-05-03,"spain",217466,118902,25264,73300,46736776,1351130
"7",2020-05-03,"turkey",126045,63151,3397,59497,83429615,1111366
"8",2020-05-03,"brazil",101826,42991,7051,51784,211049527,NA
"9",2020-05-03,"netherlands",40769,138,5072,35559,17097130,225899
"10",2020-05-03,"canada",60504,24921,3795,31788,37411047,862080
"11",2020-05-03,"peru",45928,13550,1286,31092,32510453,355604
"12",2020-05-03,"belgium",49906,12309,7844,29753,11539328,347936
"13",2020-05-03,"india",42505,11775,1391,29339,1366417754,1046450
"14",2020-05-03,"germany",165664,130600,6866,28198,83517045,2547052
"15",2020-05-03,"ecuador",29538,3300,1564,24674,17373662,38924
"16",2020-05-03,"saudi arabia",27011,4134,184,22693,34268528,NA
"17",2020-05-03,"portugal",25282,1689,1043,22550,10226187,426836
"18",2020-05-03,"sweden",22317,1005,2679,18633,10036379,119200
"19",2020-05-03,"singapore",18205,1408,18,16779,5804337,143919
"20",2020-05-03,"pakistan",20084,5114,457,14513,216565318,203025
"21",2020-05-03,"qatar",15551,1664,12,13875,2832067,104435
"22",2020-05-03,"belarus",16705,3196,99,13410,9452411,186262
"23",2020-05-03,"iran",97424,78422,6203,12799,82913906,463295
"24",2020-05-03,"united arab emirates",14163,2763,126,11274,9770529,NA
"25",2020-05-03,"japan",14877,3981,487,10409,126860301,273854
"26",2020-05-03,"ukraine",11913,1548,288,10077,43993638,129723
"27",2020-05-03,"chile",19663,10041,260,9362,18952038,199400
"28",2020-05-03,"poland",13693,3945,678,9070,37887768,375948
"29",2020-05-03,"indonesia",11192,1876,845,8471,270625568,83012
"30",2020-05-03,"bangladesh",9455,1063,177,8215,163046161,70239
"31",2020-05-03,"mexico",23471,13447,2154,7870,127575529,79255
"32",2020-05-03,"republic of serbia",9464,1551,193,7720,8772235,NA
"33",2020-05-03,"norway",7847,32,211,7604,5378857,172586
"34",2020-05-03,"romania",13163,4869,790,7504,19364557,190540
"35",2020-05-03,"philippines",9223,1214,607,7402,108116615,103197
"36",2020-05-03,"ireland",21506,13386,1303,6817,4882495,153054
"37",2020-05-03,"panama",7090,641,197,6252,4246439,33354
"38",2020-05-03,"israel",16208,9749,232,6227,8519377,392660
"39",2020-05-03,"dominican republic",7954,1606,333,6015,10738958,NA
"40",2020-05-03,"colombia",7668,1722,340,5606,50339443,114602
"41",2020-05-03,"egypt",6465,1562,429,4474,100388073,NA
"42",2020-05-03,"south africa",6783,2549,131,4103,58558270,230686
"43",2020-05-03,"czech republic",7781,3587,248,3946,10689209,257678
"44",2020-05-03,"switzerland",29905,24500,1762,3643,8591365,264781
"45",2020-05-03,"morocco",4903,1438,174,3291,36471769,37006
"46",2020-05-03,"argentina",4783,1354,246,3183,44780677,58685
"47",2020-05-03,"kuwait",4983,1776,38,3169,4207083,NA
"48",2020-05-03,"kazakhstan",3920,1084,27,2809,18551427,268534
"49",2020-05-03,"moldova",4121,1382,125,2614,4043263,NA
"50",2020-05-03,"afghanistan",2704,345,85,2274,38041754,NA
"51",2020-05-03,"algeria",4474,1936,463,2075,43053054,NA
"52",2020-05-03,"nigeria",2558,400,87,2071,200963599,16588
"53",2020-05-03,"denmark",9721,7183,484,2054,5771876,193165
"54",2020-05-03,"hungary",2998,629,340,2029,9684679,82010
"55",2020-05-03,"finland",5254,3000,230,2024,5532156,101750
"56",2020-05-03,"ghana",2169,229,18,1922,28833629,117049
"57",2020-05-03,"oman",2568,750,12,1806,4974986,NA
"58",2020-05-03,"malaysia",6298,4413,105,1780,31949777,195833
"59",2020-05-03,"austria",15597,13228,598,1771,8955102,274355
"60",2020-05-03,"bahrain",3383,1718,8,1657,1641172,143030
"61",2020-05-03,"estonia",1700,259,55,1386,1325648,55206
"62",2020-05-03,"bolivia",1594,166,76,1352,11513100,7556
"63",2020-05-03,"south korea",10801,9217,252,1332,51225308,630973
"64",2020-05-03,"armenia",2386,1035,35,1316,2957731,NA
"65",2020-05-03,"bulgaria",1618,308,73,1237,7000119,48618
"66",2020-05-03,"guinea",1586,405,7,1174,12771246,NA
"67",2020-05-03,"greece",2626,1374,144,1108,10473455,78207
"68",2020-05-03,"slovenia",1439,241,96,1102,2078654,55520
"69",2020-05-03,"cameroon",2077,953,64,1060,25876380,NA
"70",2020-05-03,"bosnia and herzegovina",1857,825,77,955,3301000,NA
"71",2020-05-03,"australia",6822,5849,95,878,25203198,588868
"72",2020-05-03,"honduras",1055,118,82,855,9746117,NA
"73",2020-05-03,"uzbekistan",2149,1319,10,820,32981716,NA
"74",2020-05-03,"senegal",1182,372,9,801,16296364,13960
"75",2020-05-03,"slovakia",1408,619,24,765,5457013,96220
"76",2020-05-03,"cuba",1649,827,67,755,11333483,51506
"77",2020-05-03,"lithuania",1410,635,46,729,2759627,141678
"78",2020-05-03,"cote d'ivoire",1398,653,17,728,NA,NA
"79",2020-05-03,"iraq",2296,1490,97,709,39309783,NA
"80",2020-05-03,"somalia",722,44,32,646,15442905,NA
"81",2020-05-03,"china",83964,78684,4637,643,1433783686,NA
"82",2020-05-03,"tunisia",1013,328,42,643,11694719,24055
"83",2020-05-03,"guatemala",703,72,17,614,17581472,NA
"84",2020-05-03,"democratic republic of the congo",674,75,33,566,86790567,NA
"85",2020-05-03,"cyprus",872,296,15,561,NA,NA
"86",2020-05-03,"croatia",2096,1489,79,528,4130304,38084
"87",2020-05-03,"sri lanka",718,184,7,527,21323733,NA
"88",2020-05-03,"latvia",879,348,16,515,1906743,64245
"89",2020-05-03,"lebanon",737,200,25,512,6855713,NA
"90",2020-05-03,"maldives",527,18,1,508,530953,NA
"91",2020-05-03,"sudan",592,52,41,499,42813238,NA
"92",2020-05-03,"macedonia",1511,945,84,482,2083459,NA
"93",2020-05-03,"azerbaijan",1932,1441,25,466,10047718,NA
"94",2020-05-03,"san marino",582,86,41,455,33860,NA
"95",2020-05-03,"kosovo",851,381,22,448,NA,NA
"96",2020-05-03,"djibouti",1112,686,2,424,973560,NA
"97",2020-05-03,"jamaica",469,38,9,422,2948279,NA
"98",2020-05-03,"georgia",589,223,9,357,3996765,NA
"99",2020-05-03,"luxembourg",3824,3379,96,349,615729,47460
"100",2020-05-03,"costa rica",739,386,6,347,5047561,9593
"101",2020-05-03,"el salvador",490,154,11,325,6453553,25492
"102",2020-05-03,"mali",563,213,27,323,19658031,NA
"103",2020-05-03,"equatorial guinea",315,9,1,305,1355986,NA
"104",2020-05-03,"united republic of tanzania",480,167,16,297,58005463,NA
"105",2020-05-03,"kenya",465,167,24,274,52573973,21702
"106",2020-05-03,"west bank and gaza",353,77,2,274,NA,NA
"107",2020-05-03,"paraguay",396,126,10,260,7044636,10327
"108",2020-05-03,"gabon",335,85,5,245,2172579,NA
"109",2020-05-03,"guinea bissau",257,19,1,237,1920922,NA
"110",2020-05-03,"albania",795,531,31,233,2880917,NA
"111",2020-05-03,"kyrgyzstan",795,564,10,221,6415850,NA
"112",2020-05-03,"andorra",748,493,45,210,77142,NA
"113",2020-05-03,"niger",750,518,36,196,23310715,NA
"114",2020-05-03,"uruguay",655,442,17,196,3461734,21164
"115",2020-05-03,"republic of congo",229,25,9,195,5380508,NA
"116",2020-05-03,"new zealand",1487,1276,20,191,4783063,150223
"117",2020-05-03,"venezuela",357,158,10,189,28515829,NA
"118",2020-05-03,"thailand",2969,2739,54,176,69037513,75268
